LASTREPORTEDDATE,STATION_ID,REGION_ID,RegionName,STATIONNAME,SHORT_NAME,LATITUDE,LONGITUDE,NUM_EBIKES_AVAILABLE,NUM_BIKES_AVAILABLE,NUM_DOCKS_AVAILABLE,CAPACITY,HAS_KIOSK
11/26/2019,22,10,Boston,South Station - 700 Atlantic Ave,A32010,42.352175,-71.055547,0,18,29,47,TRUE
11/26/2019,190,10,Boston,Nashua Street at Red Auerbach Way,A32025,42.365673,-71.064263,0,7,28,37,TRUE
11/26/2019,41,10,Boston,Packard's Corner - Commonwealth Ave at Brighton Ave,A32012,42.352261,-71.123831,0,0,27,27,TRUE
11/26/2019,212,10,Boston,Maverick Square - Lewis Mall,A32030,42.368844,-71.039778,0,7,26,33,TRUE
11/26/2019,333,8,Cambridge,699 Mt Auburn St,M32054,42.375002,-71.148716,0,1,24,25,TRUE
11/26/2019,133,10,Boston,Green Street T Stop - Green St at Amory St,E32005,42.310579,-71.107341,0,1,22,23,TRUE
11/26/2019,171,10,Boston,Bunker Hill Community College,A32023,42.37409,-71.06906,0,1,22,23,TRUE
11/26/2019,116,8,Cambridge,359 Broadway - Broadway at Fayette Street,M32026,42.370803,-71.104412,0,2,21,23,TRUE
11/26/2019,109,10,Boston,West End Park,D32022,42.365908,-71.064467,0,14,21,35,TRUE
11/26/2019,195,8,Cambridge,Child St at North St,M32049,42.371505,-71.072493,0,2,21,23,TRUE
11/26/2019,179,8,Cambridge,MIT Vassar St,M32042,42.355601,-71.103945,0,5,20,25,TRUE
11/26/2019,115,8,Cambridge,Porter Square Station,M32029,42.387995,-71.119084,0,0,19,19,TRUE
11/26/2019,386,8,Cambridge,Sennott Park  Broadway at Norfolk Street,M32063,42.368605,-71.099302,0,0,19,19,TRUE
11/26/2019,367,8,Cambridge,Vassal Lane at Tobin/VLUS,M32057,42.383932,-71.139613,0,0,19,19,TRUE
11/26/2019,344,10,Boston,Commonwealth Ave at Chiswick Rd,D32033,42.340246,-71.151688,0,0,19,19,TRUE
11/26/2019,184,8,Cambridge,Sidney Research Campus/ Erie Street at Waverly,M32047,42.357753,-71.103934,0,1,18,19,TRUE
11/26/2019,181,8,Cambridge,Huron Ave At Vassal Lane,M32044,42.381651,-71.13427,0,1,18,19,TRUE
11/26/2019,221,8,Cambridge,Verizon Innovation Hub 10 Ware Street,M32050,42.372509,-71.113054,0,0,18,19,TRUE
11/26/2019,319,8,Cambridge,84 Cambridgepark Dr,M32058,42.3936,-71.143941,0,7,18,25,TRUE
11/26/2019,433,10,Boston,Centre St at Parkway YMCA,C32086,42.282779,-71.157289,0,1,18,19,TRUE
11/26/2019,381,8,Cambridge,Inman Square at Springfield St.,M32062,42.374384,-71.100157,0,1,18,19,TRUE
11/26/2019,413,8,Cambridge,Kennedy-Longfellow School 158 Spring St,M32065,42.369553,-71.08579,0,2,17,19,TRUE
11/26/2019,139,8,Cambridge,Dana Park,M32030,42.36178,-71.1081,0,1,17,19,TRUE
11/26/2019,145,8,Cambridge,Rindge Avenue - O'Neill Library,M32036,42.392766,-71.129042,0,2,17,19,TRUE
11/26/2019,149,10,Boston,175 N Harvard St,A32019,42.363796,-71.129164,0,1,17,18,TRUE
11/26/2019,20,10,Boston,Aquarium T Stop - 200 Atlantic Ave,B32004,42.359912,-71.05143,0,6,17,23,TRUE
11/26/2019,161,10,Boston,W Broadway at D St,C32029,42.339109,-71.051443,0,6,17,23,TRUE
11/26/2019,8,10,Boston,Union Square - Brighton Ave at Cambridge St,A32001,42.353334,-71.137313,0,2,17,19,TRUE
11/26/2019,169,10,Boston,Edwards Playground - Main St at Eden St,A32022,42.378965,-71.068607,0,1,17,19,TRUE
11/26/2019,100,9,Somerville,Davis Square,S32006,42.396969,-71.123024,0,8,17,25,TRUE
11/26/2019,175,10,Boston,Brighton Center - Washington St at Cambridge St,D32028,42.348949,-71.150272,0,0,17,17,TRUE
11/26/2019,39,10,Boston,Washington St at Rutland St,C32006,42.338515,-71.074041,0,6,17,23,TRUE
11/26/2019,182,8,Cambridge,Museum of Science,M32045,42.36769,-71.071163,0,2,17,19,TRUE
11/26/2019,105,8,Cambridge,Lower Cambridgeport at Magazine St / Riverside Rd,M32022,42.357219,-71.113872,0,3,16,19,TRUE
11/26/2019,432,10,Boston,Centre St at W. Roxbury Post Office,C32085,42.286332,-71.153448,0,3,16,19,TRUE
11/26/2019,176,8,Cambridge,Lesley University,M32039,42.386748,-71.119019,0,0,15,15,TRUE
11/26/2019,378,9,Somerville,191 Beacon St,S32035,42.380323,-71.108786,0,4,15,19,TRUE
11/26/2019,162,10,Boston,Franklin Park - Seaver St at Humbolt Ave,C32027,42.309796,-71.092225,0,0,15,15,TRUE
11/26/2019,376,10,Boston,Honan Library,A32040,42.360274,-71.128525,0,0,15,15,TRUE
